date,lake_surface_water_temperature
1998-04-22,283.563
1998-04-25,285.128
1998-04-28,279.984
1998-05-01,284.357
1998-05-08,283.38
1998-05-11,282.523
1998-05-17,280.515
1998-05-27,279.636
1998-05-30,277.934
1998-06-02,278.042
1998-06-12,277.003
1998-06-18,277.691
1998-06-21,277.911
1998-07-01,281.752
1998-07-04,277.272
1998-07-07,277.884
1998-07-10,278.619
1998-07-17,271.652
1998-07-20,279.385
1998-07-23,280.888
1998-07-26,280.993
1998-08-05,278.713
1998-08-08,278.405
1998-08-11,279.863
1998-08-14,282.895
1998-08-21,283.61
1998-08-24,282.618
1998-08-27,282.927
1998-08-30,285.904
1998-09-09,280.453
1998-09-15,288.299
1998-09-18,285.901
1998-09-28,286.787
1998-11-21,290.156
1998-11-24,294.916
1998-11-27,294.862
1998-12-04,292.488
1998-12-07,291.64
1998-12-13,294.822
1998-12-23,291.307
1999-01-11,293.706
1999-01-14,294.562
1999-01-17,292.381
1999-02-02,296.19
1999-02-12,286.637
1999-02-15,288.509
1999-02-18,283.261
1999-03-03,278.737
1999-03-06,287.417
1999-03-09,282.241
1999-03-12,287.537
1999-03-22,287.292
1999-03-25,276.989
1999-03-28,286.952
1999-04-07,285.844
1999-04-10,283.641
1999-04-13,285.792
1999-04-16,284.866
1999-04-23,284.778
1999-04-26,279.834
1999-04-29,284.044
1999-05-02,282.967
1999-05-12,282.216
1999-05-15,281.424
1999-05-18,281.624
1999-05-21,282.249
1999-05-28,278.774
1999-05-31,279.466
1999-06-03,279.848
1999-06-16,277.78
1999-06-19,277.52
1999-06-22,277.186
1999-06-25,279.202
1999-07-02,277.274
1999-07-05,275.791
1999-07-08,279.359
1999-07-11,279.977
1999-07-21,277.816
1999-07-24,279.19
1999-07-27,280.973
1999-07-30,280.175
1999-08-06,279.713
1999-08-09,275.54
1999-08-12,281.895
1999-08-15,282.361
1999-08-25,281.454
1999-08-28,281.263
1999-09-03,284.692
1999-09-10,281.569
1999-09-13,281.867
1999-09-16,282.586
1999-09-29,284.76
1999-10-02,285.94
1999-10-05,284.328
1999-10-08,285.367
1999-10-15,287.137
1999-10-18,281.007
1999-10-21,287.233
1999-10-24,286.941
1999-11-06,287.655
1999-11-09,285.032
1999-11-12,287.695
1999-11-19,287.248
1999-11-22,287.529
1999-11-25,288.144
1999-11-28,289.525
1999-12-08,278.982
1999-12-11,288.826
1999-12-14,286.662
1999-12-17,289.447
1999-12-24,288.995
1999-12-27,287.015
1999-12-30,281.059
2000-01-12,289.445
2000-01-12,289.445
2000-01-18,289.051
2000-01-18,289.051
2000-01-21,286.22
2000-01-21,286.22
2000-01-28,278.375
2000-01-28,278.375
2000-01-31,276.252
2000-01-31,276.252
2000-02-03,284.397
2000-02-03,284.397
2000-02-06,284.434
2000-02-06,284.434
2000-02-16,287.417
2000-02-16,287.417
2000-02-19,287.363
2000-02-19,287.363
2000-02-22,287.535
2000-02-22,287.535
2000-02-25,287.53
2000-02-25,287.53
2000-02-26,287.855
2000-02-26,287.855
2000-02-28,288.21
2000-02-28,288.21
2000-03-01,288.172
2000-03-01,288.172
2000-03-02,288.536
2000-03-02,288.536
2000-03-03,288.365
2000-03-03,288.365
2000-03-04,287.303
2000-03-04,287.303
2000-03-06,283.706
2000-03-06,283.706
2000-03-08,288.349
2000-03-08,288.349
2000-03-10,288.585
2000-03-10,288.585
2000-03-11,288.631
2000-03-11,288.631
2000-03-13,287.874
2000-03-13,287.874
2000-03-17,286.87
2000-03-17,286.87
2000-03-19,287.423
2000-03-19,287.423
2000-03-20,287.82
2000-03-20,287.82
2000-03-22,277.369
2000-03-22,277.369
2000-03-24,287.518
2000-03-24,287.518
2000-03-25,288.048
2000-03-25,288.048
2000-03-26,287.573
2000-03-26,287.573
2000-03-27,287.832
2000-03-27,287.832
2000-03-29,287.785
2000-03-29,287.785
2000-03-31,287.103
2000-03-31,287.103
2000-04-02,286.721
2000-04-02,286.721
2000-04-03,287.832
2000-04-03,287.832
2000-04-04,287.467
2000-04-04,287.467
2000-04-06,287.174
2000-04-06,287.174
2000-04-07,285.617
2000-04-07,285.617
2000-04-09,286.994
2000-04-09,286.994
2000-04-10,286.789
2000-04-10,286.789
2000-04-11,287.308
2000-04-11,287.308
2000-04-13,285.938
2000-04-13,285.938
2000-04-14,286.645
2000-04-14,286.645
2000-04-16,285.313
2000-04-16,285.313
2000-04-18,285.16
2000-04-18,285.16
2000-04-20,283.773
2000-04-20,283.773
2000-04-21,285.782
2000-04-21,285.782
2000-04-22,285.675
2000-04-22,285.675
2000-04-26,284.479
2000-04-26,284.479
2000-04-29,284.803
2000-04-29,284.803
2000-04-30,285.074
2000-04-30,285.074
2000-05-02,282.997
2000-05-02,282.997
2000-05-04,283.107
2000-05-04,283.107
2000-05-05,282.999
2000-05-05,282.999
2000-05-06,284.118
2000-05-06,284.118
2000-05-07,282.61
2000-05-07,282.61
2000-05-08,282.24
2000-05-08,282.24
2000-05-11,283.716
2000-05-11,283.716
2000-05-12,283.122
2000-05-12,283.122
2000-05-13,281.463
2000-05-13,281.463
2000-05-14,282.212
2000-05-14,282.212
2000-05-15,281.807
2000-05-15,281.807
2000-05-16,281.225
2000-05-16,281.225
2000-05-18,276.582
2000-05-18,276.582
2000-05-20,280.525
2000-05-20,280.525
2000-05-21,279.521
2000-05-21,279.521
2000-05-22,280.582
2000-05-22,280.582
2000-05-23,281.96
2000-05-23,281.96
2000-05-24,281.959
2000-05-24,281.959
2000-05-25,281.341
2000-05-25,281.341
2000-05-27,281.176
2000-05-27,281.176
2000-05-29,281.502
2000-05-29,281.502
2000-05-30,281.508
2000-05-30,281.508
2000-05-31,279.666
2000-05-31,279.666
2000-06-01,280.418
2000-06-01,280.418
2000-06-03,277.113
2000-06-03,277.113
2000-06-05,279.259
2000-06-05,279.259
2000-06-06,270.89
2000-06-06,270.89
2000-06-07,280.917
2000-06-07,280.917
2000-06-08,281.047
2000-06-08,281.047
2000-06-09,280.473
2000-06-09,280.473
2000-06-10,280.82
2000-06-10,280.82
2000-06-13,279.06
2000-06-13,279.06
2000-06-14,278.763
2000-06-14,278.763
2000-06-15,279.812
2000-06-15,279.812
2000-06-16,278.085
2000-06-16,278.085
2000-06-17,279.199
2000-06-17,279.199
2000-06-19,277.032
2000-06-19,277.032
2000-06-21,278.341
2000-06-21,278.341
2000-06-22,277.493
2000-06-22,277.493
2000-06-24,278.142
2000-06-24,278.142
2000-06-25,277.139
2000-06-25,277.139
2000-06-26,279.083
2000-06-26,279.083
2000-06-28,279.091
2000-06-28,279.091
2000-06-29,280.328
2000-06-29,280.328
2000-06-30,279.28
2000-06-30,279.28
2000-07-01,280.387
2000-07-01,280.387
2000-07-02,279.573
2000-07-02,279.573
2000-07-03,279.533
2000-07-03,279.533
2000-07-05,279.211
2000-07-05,279.211
2000-07-07,279.072
2000-07-07,279.072
2000-07-08,277.452
2000-07-08,277.452
2000-07-09,279.649
2000-07-09,279.649
2000-07-10,278.268
2000-07-10,278.268
2000-07-11,276.673
2000-07-11,276.673
2000-07-12,277.401
2000-07-12,277.401
2000-07-14,277.187
2000-07-14,277.187
2000-07-15,277.99
2000-07-15,277.99
2000-07-16,277.445
2000-07-16,277.445
2000-07-17,279.441
2000-07-17,279.441
2000-07-18,278.321
2000-07-18,278.321
2000-07-19,277.798
2000-07-19,277.798
2000-07-21,277.792
2000-07-21,277.792
2000-07-23,277.773
2000-07-23,277.773
2000-07-24,277.336
2000-07-24,277.336
2000-07-25,278.058
2000-07-25,278.058
2000-07-26,280.296
2000-07-26,280.296
2000-07-27,278.929
2000-07-27,278.929
2000-07-28,280.728
2000-07-28,280.728
2000-07-30,278.558
2000-07-30,278.558
2000-07-31,280.746
2000-07-31,280.746
2000-08-01,278.769
2000-08-01,278.769
2000-08-02,280.368
2000-08-02,280.368
2000-08-03,279.995
2000-08-03,279.995
2000-08-04,281.111
2000-08-04,281.111
2000-08-09,278.746
2000-08-09,278.746
2000-08-12,281.419
2000-08-12,281.419
2000-08-15,279.487
2000-08-15,279.487
2000-08-18,281.341
2000-08-18,281.341
2000-08-19,281.469
2000-08-19,281.469
2000-08-20,281.676
2000-08-20,281.676
2000-08-22,283.1
2000-08-22,283.1
2000-08-24,282.221
2000-08-24,282.221
2000-08-25,283.131
2000-08-25,283.131
2000-08-26,283.238
2000-08-26,283.238
2000-08-27,282.984
2000-08-27,282.984
2000-08-28,276.558
2000-08-28,276.558
2000-08-29,282.29
2000-08-29,282.29
2000-08-31,280.689
2000-08-31,280.689
2000-09-01,283.917
2000-09-01,283.917
2000-09-02,282.457
2000-09-02,282.457
2000-09-03,275.84
2000-09-03,275.84
2000-09-04,282.127
2000-09-04,282.127
2000-09-05,283.055
2000-09-05,283.055
2000-09-07,283.073
2000-09-07,283.073
2000-09-10,282.766
2000-09-10,282.766
2000-09-11,283.713
2000-09-11,283.713
2000-09-12,284.647
2000-09-12,284.647
2000-09-13,282.47
2000-09-13,282.47
2000-09-14,283.585
2000-09-14,283.585
2000-09-16,282.883
2000-09-16,282.883
2000-09-18,284.896
2000-09-18,284.896
2000-09-19,285.944
2000-09-19,285.944
2000-09-20,285.063
2000-09-20,285.063
2000-09-21,285.489
2000-09-21,285.489
2000-09-22,284.428
2000-09-22,284.428
2000-09-23,285.952
2000-09-23,285.952
2000-09-25,285.207
2000-09-25,285.207
2000-09-26,285.277
2000-09-26,285.277
2000-09-27,286.003
2000-09-27,286.003
2000-09-28,285.83
2000-09-28,285.83
2000-09-29,285.432
2000-09-29,285.432
2000-10-02,286.627
2000-10-02,286.627
2000-10-04,287.062
2000-10-04,287.062
2000-10-05,286.132
2000-10-05,286.132
2000-10-09,284.853
2000-10-09,284.853
2000-10-11,285.995
2000-10-11,285.995
2000-10-12,286.692
2000-10-12,286.692
2000-10-13,284.87
2000-10-13,284.87
2000-10-14,286.245
2000-10-14,286.245
2000-10-16,286.876
2000-10-16,286.876
2000-10-18,286.758
2000-10-18,286.758
2000-10-20,286.87
2000-10-20,286.87
2000-10-21,289.457
2000-10-21,289.457
2000-10-22,288.494
2000-10-22,288.494
2000-10-23,286.607
2000-10-23,286.607
2000-10-24,288.592
2000-10-24,288.592
2000-10-25,287.312
2000-10-25,287.312
2000-10-27,289.506
2000-10-27,289.506
2000-10-28,287.7
2000-10-28,287.7
2000-10-29,288.534
2000-10-29,288.534
2000-10-30,287.984
2000-10-30,287.984
2000-10-31,289.139
2000-10-31,289.139
2000-11-01,287.67
2000-11-01,287.67
2000-11-03,288.467
2000-11-03,288.467
2000-11-05,287.746
2000-11-05,287.746
2000-11-06,287.838
2000-11-06,287.838
2000-11-07,288.233
2000-11-07,288.233
2000-11-08,288.213
2000-11-08,288.213
2000-11-09,286.975
2000-11-09,286.975
2000-11-10,287.877
2000-11-10,287.877
2000-11-12,285.718
2000-11-12,285.718
2000-11-16,286.35
2000-11-16,286.35
2000-11-17,288.973
2000-11-17,288.973
2000-11-19,288.549
2000-11-19,288.549
2000-11-22,291.118
2000-11-22,291.118
2000-11-25,286.783
2000-11-25,286.783
2000-11-26,288.11
2000-11-26,288.11
2000-11-28,290.798
2000-11-28,290.798
2000-12-01,292.77
2000-12-01,292.77
2000-12-11,291.031
2000-12-11,291.031
2000-12-14,289.915
2000-12-14,289.915
2000-12-17,292.583
2000-12-17,292.583
2000-12-23,290.184
2000-12-23,290.184
2000-12-25,290.16
2000-12-25,290.16
2000-12-27,290.526
2000-12-27,290.526
2001-01-02,288.761
2001-01-02,288.761
2001-01-04,288.54
2001-01-04,288.54
2001-01-06,287.44
2001-01-06,287.44
2001-01-09,290.8
2001-01-09,290.8
2001-01-13,288.64
2001-01-13,288.64
2001-01-15,283.46
2001-01-15,283.46
2001-01-16,288.135
2001-01-16,288.135
2001-01-18,289.635
2001-01-18,289.635
2001-01-20,288.162
2001-01-20,288.162
2001-01-22,287.996
2001-01-22,287.996
2001-01-24,287.934
2001-01-24,287.934
2001-01-25,289.45
2001-01-25,289.45
2001-01-31,289.007
2001-01-31,289.007
2001-02-01,288.707
2001-02-01,288.707
2001-02-02,286.53
2001-02-02,286.53
2001-02-04,287.977
2001-02-04,287.977
2001-02-05,288.435
2001-02-05,288.435
2001-02-07,289.112
2001-02-07,289.112
2001-02-08,289.14
2001-02-08,289.14
2001-02-09,290.172
2001-02-09,290.172
2001-02-10,291.489
2001-02-10,291.489
2001-02-11,288.771
2001-02-11,288.771
2001-02-14,289.658
2001-02-14,289.658
2001-02-16,287.866
2001-02-16,287.866
2001-02-17,287.54
2001-02-17,287.54
2001-02-18,288.129
2001-02-18,288.129
2001-02-20,288.184
2001-02-20,288.184
2001-02-21,288.945
2001-02-21,288.945
2001-02-22,288.139
2001-02-22,288.139
2001-02-23,288.59
2001-02-23,288.59
2001-02-24,289.781
2001-02-24,289.781
2001-02-27,288.497
2001-02-27,288.497
2001-03-02,288.187
2001-03-02,288.187
2001-03-04,288.672
2001-03-04,288.672
2001-03-05,288.433
2001-03-05,288.433
2001-03-06,287.745
2001-03-06,287.745
2001-03-07,284.739
2001-03-07,284.739
2001-03-10,287.364
2001-03-10,287.364
2001-03-12,288.63
2001-03-12,288.63
2001-03-13,281.93
2001-03-13,281.93
2001-03-14,288.765
2001-03-14,288.765
2001-03-15,288.679
2001-03-15,288.679
2001-03-16,286.459
2001-03-16,286.459
2001-03-18,288.175
2001-03-18,288.175
2001-03-20,287.974
2001-03-20,287.974
2001-03-21,288.049
2001-03-21,288.049
2001-03-22,287.47
2001-03-22,287.47
2001-03-23,287.617
2001-03-23,287.617
2001-03-26,285.722
2001-03-26,285.722
2001-03-27,287.684
2001-03-27,287.684
2001-03-28,286.65
2001-03-28,286.65
2001-03-29,287.461
2001-03-29,287.461
2001-03-30,287.922
2001-03-30,287.922
2001-03-31,289.004
2001-03-31,289.004
2001-04-01,287.624
2001-04-01,287.624
2001-04-03,287.431
2001-04-03,287.431
2001-04-05,287.159
2001-04-05,287.159
2001-04-06,287.461
2001-04-06,287.461
2001-04-07,286.953
2001-04-07,286.953
2001-04-08,286.87
2001-04-08,286.87
2001-04-09,286.893
2001-04-09,286.893
2001-04-10,287.302
2001-04-10,287.302
2001-04-11,286.319
2001-04-11,286.319
2001-04-12,285.626
2001-04-12,285.626
2001-04-13,286.509
2001-04-13,286.509
2001-04-14,287.561
2001-04-14,287.561
2001-04-15,288.319
2001-04-15,288.319
2001-04-16,286.372
2001-04-16,286.372
2001-04-17,285.977
2001-04-17,285.977
2001-04-19,286.7
2001-04-19,286.7
2001-04-20,286.231
2001-04-20,286.231
2001-04-21,285.79
2001-04-21,285.79
2001-04-22,286.626
2001-04-22,286.626
2001-04-23,284.989
2001-04-23,284.989
2001-04-24,283.644
2001-04-24,283.644
2001-04-25,284.717
2001-04-25,284.717
2001-04-26,285.362
2001-04-26,285.362
2001-04-27,280.938
2001-04-27,280.938
2001-04-28,284.827
2001-04-28,284.827
2001-04-29,284.511
2001-04-29,284.511
2001-04-30,283.936
2001-04-30,283.936
2001-05-01,285.13
2001-05-01,285.13
2001-05-02,284.826
2001-05-02,284.826
2001-05-03,282.367
2001-05-03,282.367
2001-05-05,283.225
2001-05-05,283.225
2001-05-07,282.156
2001-05-07,282.156
2001-05-08,285.029
2001-05-08,285.029
2001-05-09,283.777
2001-05-09,283.777
2001-05-10,282.625
2001-05-10,282.625
2001-05-11,283.067
2001-05-11,283.067
2001-05-12,283.135
2001-05-12,283.135
2001-05-14,280.808
2001-05-14,280.808
2001-05-16,281.144
2001-05-16,281.144
2001-05-17,281.57
2001-05-17,281.57
2001-05-18,281.646
2001-05-18,281.646
2001-05-19,280.28
2001-05-19,280.28
2001-05-21,282.03
2001-05-21,282.03
2001-05-23,281.476
2001-05-23,281.476
2001-05-26,281.138
2001-05-26,281.138
2001-05-27,280.784
2001-05-27,280.784
2001-05-28,281.182
2001-05-28,281.182
2001-05-30,281.367
2001-05-30,281.367
2001-05-31,281.477
2001-05-31,281.477
2001-06-01,280.963
2001-06-01,280.963
2001-06-02,281.64
2001-06-02,281.64
2001-06-04,281.179
2001-06-04,281.179
2001-06-06,281.832
2001-06-06,281.832
2001-06-07,281.897
2001-06-07,281.897
2001-06-08,282.042
2001-06-08,282.042
2001-06-10,279.834
2001-06-10,279.834
2001-06-11,279.31
2001-06-11,279.31
2001-06-12,279.764
2001-06-12,279.764
2001-06-13,282.061
2001-06-13,282.061
2001-06-23,278.052
2001-06-23,278.052
2001-06-26,278.345
2001-06-26,278.345
2001-07-04,280.654
2001-07-04,280.654
2001-07-05,280.169
2001-07-05,280.169
2001-07-06,279.048
2001-07-06,279.048
2001-07-08,280.439
2001-07-08,280.439
2001-07-09,279.478
2001-07-09,279.478
2001-07-10,280.579
2001-07-10,280.579
2001-07-11,280.106
2001-07-11,280.106
2001-07-12,279.254
2001-07-12,279.254
2001-07-13,280.506
2001-07-13,280.506
2001-07-14,280.292
2001-07-14,280.292
2001-07-15,280.253
2001-07-15,280.253
2001-07-17,279.442
2001-07-17,279.442
2001-07-18,280.111
2001-07-18,280.111
2001-07-19,280.076
2001-07-19,280.076
2001-07-20,280.775
2001-07-20,280.775
2001-07-21,279.404
2001-07-21,279.404
2001-07-22,280.638
2001-07-22,280.638
2001-07-24,280.837
2001-07-24,280.837
2001-07-26,280.765
2001-07-26,280.765
2001-07-27,281.069
2001-07-27,281.069
2001-07-28,279.891
2001-07-28,279.891
2001-07-29,279.945
2001-07-29,279.945
2001-07-30,279.7
2001-07-30,279.7
2001-07-31,281.272
2001-07-31,281.272
2001-08-02,281.838
2001-08-02,281.838
2001-08-03,281.692
2001-08-03,281.692
2001-08-04,282.269
2001-08-04,282.269
2001-08-06,281.394
2001-08-06,281.394
2001-08-07,282.122
2001-08-07,282.122
2001-08-13,281.591
2001-08-13,281.591
2001-08-14,282.515
2001-08-14,282.515
2001-08-15,281.568
2001-08-15,281.568
2001-08-16,281.114
2001-08-16,281.114
2001-08-18,281.667
2001-08-18,281.667
2001-08-19,280.451
2001-08-19,280.451
2001-08-20,281.35
2001-08-20,281.35
2001-08-21,281.459
2001-08-21,281.459
2001-08-22,281.034
2001-08-22,281.034
2001-08-23,282.751
2001-08-23,282.751
2001-08-25,282.858
2001-08-25,282.858
2001-08-27,283.02
2001-08-27,283.02
2001-08-28,283.69
2001-08-28,283.69
2001-08-29,283.496
2001-08-29,283.496
2001-08-30,284.819
2001-08-30,284.819
2001-08-31,284.381
2001-08-31,284.381
2001-09-01,281.828
2001-09-01,281.828
2001-09-03,284.736
2001-09-03,284.736
2001-09-04,285.597
2001-09-04,285.597
2001-09-05,285.092
2001-09-05,285.092
2001-09-06,286.868
2001-09-06,286.868
2001-09-07,286.087
2001-09-07,286.087
2001-09-08,285.06
2001-09-08,285.06
2001-09-10,286.253
2001-09-10,286.253
2001-09-12,284.911
2001-09-12,284.911
2001-09-13,285.273
2001-09-13,285.273
2001-09-14,285.031
2001-09-14,285.031
2001-09-15,285.107
2001-09-15,285.107
2001-09-16,284.815
2001-09-16,284.815
2001-09-17,284.995
2001-09-17,284.995
2001-09-19,284.074
2001-09-19,284.074
2001-09-20,275.198
2001-09-20,275.198
2001-09-21,284.983
2001-09-21,284.983
2001-09-22,286.735
2001-09-22,286.735
2001-09-23,285.831
2001-09-23,285.831
2001-09-24,284.028
2001-09-24,284.028
2001-09-26,285.45
2001-09-26,285.45
2001-09-28,283.819
2001-09-28,283.819
2001-09-29,285.16
2001-09-29,285.16
2001-09-30,284.67
2001-09-30,284.67
2001-10-01,285.592
2001-10-01,285.592
2001-10-02,286.328
2001-10-02,286.328
2001-10-03,285.788
2001-10-03,285.788
2001-10-05,286.056
2001-10-05,286.056
2001-10-07,284.934
2001-10-07,284.934
2001-10-08,285.782
2001-10-08,285.782
2001-10-09,285.959
2001-10-09,285.959
2001-10-10,287.034
2001-10-10,287.034
2001-10-14,285.135
2001-10-14,285.135
2001-10-15,286.621
2001-10-15,286.621
2001-10-16,288.344
2001-10-16,288.344
2001-10-17,286.176
2001-10-17,286.176
2001-10-18,287.563
2001-10-18,287.563
2001-10-19,288.357
2001-10-19,288.357
2001-10-21,287.829
2001-10-21,287.829
2001-10-22,286.776
2001-10-22,286.776
2001-10-23,287.364
2001-10-23,287.364
2001-10-24,288.415
2001-10-24,288.415
2001-10-25,287.584
2001-10-25,287.584
2001-10-28,288.357
2001-10-28,288.357
2001-10-30,287.099
2001-10-30,287.099
2001-10-31,288.011
2001-10-31,288.011
2001-11-01,287.723
2001-11-01,287.723
2001-11-02,287.861
2001-11-02,287.861
2001-11-03,287.411
2001-11-03,287.411
2001-11-04,288.864
2001-11-04,288.864
2001-11-06,288.758
2001-11-06,288.758
2001-11-07,287.624
2001-11-07,287.624
2001-11-08,288.628
2001-11-08,288.628
2001-11-09,288.111
2001-11-09,288.111
2001-11-10,287.997
2001-11-10,287.997
2001-11-11,288.371
2001-11-11,288.371
2001-11-15,288.755
2001-11-15,288.755
2001-11-16,289.173
2001-11-16,289.173
2001-11-17,286.878
2001-11-17,286.878
2001-11-18,288.562
2001-11-18,288.562
2001-11-19,287.895
2001-11-19,287.895
2001-11-22,289.261
2001-11-22,289.261
2001-11-23,289.56
2001-11-23,289.56
2001-11-24,289.872
2001-11-24,289.872
2001-11-26,290.13
2001-11-26,290.13
2001-11-29,289.711
2001-11-29,289.711
2001-12-01,289.781
2001-12-01,289.781
2001-12-02,289.873
2001-12-02,289.873
2001-12-03,288.495
2001-12-03,288.495
2001-12-04,288.92
2001-12-04,288.92
2001-12-05,288.342
2001-12-05,288.342
2001-12-06,290.063
2001-12-06,290.063
2001-12-08,288.262
2001-12-08,288.262
2001-12-10,288.748
2001-12-10,288.748
2001-12-11,290.265
2001-12-11,290.265
2001-12-17,287.015
2001-12-17,287.015
2001-12-18,285.454
2001-12-18,285.454
2001-12-19,288.171
2001-12-19,288.171
2001-12-20,290.42
2001-12-20,290.42
2001-12-21,288.858
2001-12-21,288.858
2001-12-22,288.377
2001-12-22,288.377
2001-12-24,288.198
2001-12-24,288.198
2001-12-25,289.564
2001-12-25,289.564
2001-12-26,288.719
2001-12-26,288.719
2001-12-27,290.058
2001-12-27,290.058
2001-12-28,289.5
2001-12-28,289.5
2001-12-31,288.508
2001-12-31,288.508
2002-01-02,290.282
2002-01-02,290.282
2002-01-03,290.122
2002-01-03,290.122
2002-01-04,289.951
2002-01-04,289.951
2002-01-05,289.829
2002-01-05,289.829
2002-01-06,286.517
2002-01-06,286.517
2002-01-07,289.73
2002-01-07,289.73
2002-01-09,289.648
2002-01-09,289.648
2002-01-10,290.677
2002-01-10,290.677
2002-01-11,289.446
2002-01-11,289.446
2002-01-12,289.937
2002-01-12,289.937
2002-01-13,289.143
2002-01-13,289.143
2002-01-16,289.198
2002-01-16,289.198
2002-01-18,287.799
2002-01-18,287.799
2002-01-19,286.642
2002-01-19,286.642
2002-01-20,287.874
2002-01-20,287.874
2002-01-21,289.719
2002-01-21,289.719
2002-01-22,283.223
2002-01-22,283.223
2002-01-23,290.336
2002-01-23,290.336
2002-01-25,288.395
2002-01-25,288.395
2002-01-26,289.799
2002-01-26,289.799
2002-01-27,288.291
2002-01-27,288.291
2002-01-28,288.976
2002-01-28,288.976
2002-01-29,289.507
2002-01-29,289.507
2002-02-03,288.591
2002-02-03,288.591
2002-02-04,289.964
2002-02-04,289.964
2002-02-05,287.818
2002-02-05,287.818
2002-02-07,286.343
2002-02-07,286.343
2002-02-08,288.341
2002-02-08,288.341
2002-02-10,288.636
2002-02-10,288.636
2002-02-11,288.605
2002-02-11,288.605
2002-02-13,289.155
2002-02-13,289.155
2002-02-15,289.172
2002-02-15,289.172
2002-02-17,287.66
2002-02-17,287.66
2002-02-19,288.103
2002-02-19,288.103
2002-02-23,286.821
2002-02-23,286.821
2002-02-26,283.485
2002-02-26,283.485
2002-02-28,287.93
2002-02-28,287.93
2002-03-01,282.784
2002-03-01,282.784
2002-03-08,289.242
2002-03-08,289.242
2002-03-09,287.66
2002-03-09,287.66
2002-03-11,288.509
2002-03-11,288.509
2002-03-12,289.215
2002-03-12,289.215
2002-03-14,288.351
2002-03-14,288.351
2002-03-15,288.716
2002-03-15,288.716
2002-03-16,287.804
2002-03-16,287.804
2002-03-17,288.04
2002-03-17,288.04
2002-03-30,287.662
2002-03-30,287.662
2002-03-31,289.05
2002-03-31,289.05
2002-04-01,286.88
2002-04-01,286.88
2002-04-02,286.962
2002-04-02,286.962
2002-04-03,288.009
2002-04-03,288.009
2002-04-04,287.677
2002-04-04,287.677
2002-04-05,287.308
2002-04-05,287.308
2002-04-06,288.433
2002-04-06,288.433
2002-04-08,287.707
2002-04-08,287.707
2002-04-09,286.743
2002-04-09,286.743
2002-04-10,285.939
2002-04-10,285.939
2002-04-11,285.526
